filename,full_path,file_type,product,use_case,platform,likely_upload_destination,file_size_bytes,file_size_human,duration_seconds,status,notes
bank-desert-etsy-video-voiceover-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/bank-desert-etsy-video-voiceover-v1.mp3,mp3,Bank Desert Analysis Project,etsy-video-voiceover,Etsy,Etsy listing video bed (audio only — needs mux to MP4),474005,463K,27.40,READY,Audio VO ready; no finished listing MP4 yet
construction-etsy-video-voiceover-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/etsy-listing-videos/construction-etsy-video-voiceover-v1.mp3,mp3,Construction Website Template,etsy-video-voiceover,Etsy,Etsy listing video bed (paired with construction listing MP4),550502,538K,32.18,READY,Correct folder under etsy-listing-videos
nextgenwebs-custom-build-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-custom-build-v1.mp3,mp3,NextGenWebs,brand-audio,YouTube/Homepage,Homepage brand film audio segment,223232,218K,11.70,READY,Audio only; no rendered homepage video
nextgenwebs-homepage-intro-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-homepage-intro-v1.mp3,mp3,NextGenWebs,brand-intro,YouTube/Homepage,Homepage intro film audio,330752,323K,18.39,READY,Audio only; no talking-head or brand MP4
nextgenwebs-template-shop-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-template-shop-v1.mp3,mp3,NextGenWebs,brand-audio,YouTube/Homepage,Homepage brand film audio segment,260096,254K,13.98,READY,Audio only
nextgenwebs-what-we-build-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-what-we-build-v1.mp3,mp3,NextGenWebs,brand-audio,YouTube/Homepage,Homepage brand film audio segment,283648,277K,15.46,READY,Audio only
insightforge-etsy-video-voiceover-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/insightforge-etsy-video-voiceover-v1.mp3,mp3,InsightForge Business Analytics Dashboard,etsy-video-voiceover,Etsy,Etsy listing video bed (audio only — needs mux to MP4),524160,512K,30.54,READY,Root of audio tree; consider move to etsy-listing-videos/
insightforge-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-audio/insightforge-talking-head-youtube-v1.mp4,mp4,InsightForge Business Analytics Dashboard,talking-head-youtube,YouTube,YouTube standard (also LinkedIn/X after upload),7120234,6.8M,30.32,WRONG_FOLDER,Video file sitting in nextgenwebs-audio root; move to nextgenwebs-video/youtube-talking-heads/
tiling-etsy-video-voiceover-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/tiling-etsy-video-voiceover-v1.mp3,mp3,Tiling Contractor Website Template,etsy-video-voiceover,Etsy,Etsy listing video bed (audio only — needs mux to MP4),575569,563K,33.75,READY,Root of audio tree; consider move to etsy-listing-videos/
tiling-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-audio/tiling-talking-head-youtube-v1.mp4,mp4,Tiling Contractor Website Template,talking-head-youtube,YouTube,YouTube standard (also LinkedIn/X after upload),7853310,7.5M,33.96,WRONG_FOLDER,Video file sitting in nextgenwebs-audio root; move to nextgenwebs-video/youtube-talking-heads/
wellness-etsy-video-voiceover-v1..mp3,/home/iedrees/Workspace/nextgenwebs-audio/wellness-etsy-video-voiceover-v1..mp3,mp3,Wellness Website Template,etsy-video-voiceover,Etsy,Etsy listing video bed (audio only — needs mux to MP4),447672,438K,25.73,NEEDS_RENAME,Double extension/dot: rename to wellness-etsy-video-voiceover-v1.mp3
wellnes_talkinghead.mp4,/home/iedrees/Workspace/nextgenwebs-audio/wellnes_talkinghead.mp4,mp4,Wellness Website Template,talking-head-youtube,YouTube,YouTube standard after rename + folder move,5831077,5.6M,23.68,NEEDS_RENAME,Typo slug (wellnes) and non-standard name; rename to wellness-talking-head-youtube-v1.mp4 and move to nextgenwebs-video/youtube-talking-heads/
construction-etsy-listing-video-v1.mp4,/home/iedrees/Workspace/nextgenwebs-video/etsy-listing-videos/construction-etsy-listing-video-v1.mp4,mp4,Construction Website Template,etsy-listing-video,Etsy,Etsy listing media (manual attach only),2936012,2.8M,11.80,READY,Only finished Etsy listing MP4 in inventory
construction-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-video/youtube-talking-heads/construction-talking-head-youtube-v1.mp4,mp4,Construction Website Template,talking-head-youtube,YouTube,YouTube standard (also LinkedIn/X after upload),9017753,8.6M,37.80,READY,Correct folder; primary READY upload
