priority,product,platform,duration,voice,script_title,script_text,filename,output_format,status,notes
0,Pest Control Website Template,Etsy listing video,15s,nextgenwebs-house-male-v1,Pest control Etsy VO,"If your pest control business still lives on a Facebook wall, customers can’t see services cleanly. This website template is mobile-ready with quote and WhatsApp paths. Digital download. Replace the fictional demo content before you go live.",pest-control-etsy-video-voiceover-v1.mp3,mp3,queued,Generate first
0,Tiling Contractor Website Template,Etsy listing video,15s,nextgenwebs-house-male-v1,Tiling Etsy VO,"Tiling jobs die in vague WhatsApp threads. This website template includes a tile calculator for area, boxes, and wastage guidance. Digital download for flooring contractors. Estimates are preliminary—not a binding quote.",tiling-etsy-video-voiceover-v1.mp3,mp3,queued,Generate first
0,Construction Website Template,Etsy listing video,15s,nextgenwebs-house-male-v1,Construction Etsy VO,Builders get “how much for a reno?” with almost no detail. This construction website template includes a renovation quote planner that structures scope before the call. Digital download. Preliminary guidance only—not a final price.,construction-etsy-video-voiceover-v1.mp3,mp3,queued,Generate first
0,Solar Website Template,Etsy listing video,15s,nextgenwebs-house-male-v1,Solar Etsy VO,Solar installers need a site that looks trustworthy on mobile. This template is built for contractor lead capture with savings-style guidance. Digital download. Calculator numbers are educational—not a utility bill or finance offer.,solar-etsy-video-voiceover-v1.mp3,mp3,queued,Generate first
0,Pest Control Website Template,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Pest Control Website Template portfolio VO,"Local service businesses still win trust with a clear owned website. This pest control template is structured for exterminators and related services: readable offerings, mobile navigation, and quote-oriented calls to action. Sample ratings in the demo are fictional. No guaranteed bookings. Watch the mobile path from hero to enquiry.",pest-control-portfolio-walkthrough-v1.mp3,mp3,queued,Portfolio video bed
0,Tiling Contractor Website Template,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Tiling Contractor Website Template portfolio VO,This tiling contractor website template pairs a trade homepage with a Tile Project Planner for measurements and planning details. Outputs are preliminary—not final prices. Demo branding is fictional. Most homeowners message from a phone—mobile usability is the point.,tiling-portfolio-walkthrough-v1.mp3,mp3,queued,Portfolio video bed
0,Construction Website Template,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Construction Website Template portfolio VO,This construction website template helps builders present services and collect structured renovation briefs with a quote planner. Budget-style guidance is preliminary only. Demo content is fictional. Better enquiries before the site visit.,construction-portfolio-walkthrough-v1.mp3,mp3,queued,Portfolio video bed
0,Solar Website Template,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Solar Website Template portfolio VO,This solar installer website template is mobile-first for renewable energy contractors. Savings-style guidance is educational only—not a utility bill or finance offer. Demo branding is sample content.,solar-portfolio-walkthrough-v1.mp3,mp3,queued,Portfolio video bed
0,Pest Control Website Template,Hook sting,5s,nextgenwebs-house-male-v1,Pest Control Website Template hook,"If customers can’t see your services, they message someone else.",pest-control-hook-v1.mp3,mp3,queued,Opener sting
0,Pest Control Website Template,CTA sting,5s,nextgenwebs-house-male-v1,Pest Control Website Template CTA,Get the pest control website template.,pest-control-cta-v1.mp3,mp3,queued,End card
0,Tiling Contractor Website Template,Hook sting,5s,nextgenwebs-house-male-v1,Tiling Contractor Website Template hook,How many boxes—with no measurements—is chaos.,tiling-hook-v1.mp3,mp3,queued,Opener sting
0,Tiling Contractor Website Template,CTA sting,5s,nextgenwebs-house-male-v1,Tiling Contractor Website Template CTA,Download the tiling contractor template.,tiling-cta-v1.mp3,mp3,queued,End card
0,Construction Website Template,Hook sting,5s,nextgenwebs-house-male-v1,Construction Website Template hook,How much for a reno—with zero scope—is not a quote.,construction-hook-v1.mp3,mp3,queued,Opener sting
0,Construction Website Template,CTA sting,5s,nextgenwebs-house-male-v1,Construction Website Template CTA,Download the construction template and rebrand it for your crew.,construction-cta-v1.mp3,mp3,queued,End card
0,Solar Website Template,Hook sting,5s,nextgenwebs-house-male-v1,Solar Website Template hook,A vague solar page loses the serious enquiries.,solar-hook-v1.mp3,mp3,queued,Opener sting
0,Solar Website Template,CTA sting,5s,nextgenwebs-house-male-v1,Solar Website Template CTA,Download the solar installer template.,solar-cta-v1.mp3,mp3,queued,End card
1,Pest Control Website Template,YouTube Shorts,20s,nextgenwebs-house-male-v1,pest-control-short-facebook-wall,"A Facebook page is not a website. Customers still search for pest control services and expect clear offerings on mobile. This template gives exterminators a fast, rebrandable site with quote paths. Digital download.",pest-control-short-facebook-wall-v1.mp3,mp3,queued,External traffic
1,Tiling Contractor Website Template,YouTube Shorts,20s,nextgenwebs-house-male-v1,tiling-short-measure-first,How many boxes for my bathroom without measurements is a trap. This tiling website template includes a tile calculator that captures area and wastage guidance before the chat spiral. Preliminary only—not a final quote.,tiling-short-measure-first-v1.mp3,mp3,queued,External traffic
1,Construction Website Template,YouTube Shorts,20s,nextgenwebs-house-male-v1,construction-short-quote-planner,Your website can ask the production questions first. This builder template includes a renovation quote planner that turns vague enquiries into structured job briefs. Preliminary guidance only—not a binding cost estimate.,construction-short-quote-planner-v1.mp3,mp3,queued,External traffic
1,Solar Website Template,YouTube Shorts,20s,nextgenwebs-house-male-v1,solar-short-installer-site,Solar buyers compare installers on their phones. This website template is built for solar contractors who need clear services and a path to enquire. Digital download. An installer marketing site—not an AI coding demo.,solar-short-installer-site-v1.mp3,mp3,queued,External traffic
1,Precision Laser Website Template,YouTube Shorts,20s,nextgenwebs-house-male-v1,precision-laser-short-not-a-quote,This is not a laser quote request. Photo. No material. No thickness. No size. No file. A website can ask production questions first. Built for cutting and engraving shops—not medical lasers.,precision-laser-short-not-a-quote-v1.mp3,mp3,queued,External traffic
1,NextGenWebs Brand,Homepage video,65s,nextgenwebs-house-male-v1,Homepage brand film,"NextGenWebs builds practical digital products for real operators—local service businesses, makers, and people who ship useful software. We design website templates that do more than look pretty. We also ship analytics dashboards and educational data labs. We don’t guarantee rankings or invent reviews. Explore the projects. Test a live demo.",nextgenwebs-brand-homepage-v1.mp3,mp3,queued,Brand film
2,Wellness Website Template,Etsy listing video,15s,nextgenwebs-house-male-v1,Wellness Website Template Etsy VO,"Spas and beauty studios need a site that feels premium—not a medical brochure. This wellness website template presents services, themes, and enquiry paths. Digital download. Not a diagnostic or treatment tool.",wellness-etsy-video-voiceover-v1.mp3,mp3,queued,Secondary wave
2,Wellness Website Template,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Wellness Website Template portfolio VO,See PORTFOLIO-WALKTHROUGH-SCRIPTS.md for full narration matching this filename.,wellness-portfolio-walkthrough-v1.mp3,mp3,queued,Use full script from md file when generating
2,Zen Skin Studio Website Template,Etsy listing video,15s,nextgenwebs-house-male-v1,Zen Skin Studio Website Template Etsy VO,Skincare studios need a calm marketing site—not an EMR. This static website template rebrands through configuration and hosts simply. Digital download. No treatment outcome claims.,zen-skin-etsy-video-voiceover-v1.mp3,mp3,queued,Secondary wave
2,Zen Skin Studio Website Template,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Zen Skin Studio Website Template portfolio VO,See PORTFOLIO-WALKTHROUGH-SCRIPTS.md for full narration matching this filename.,zen-skin-portfolio-walkthrough-v1.mp3,mp3,queued,Use full script from md file when generating
2,Small Business Analytics Dashboard,Etsy listing video,15s,nextgenwebs-house-male-v1,Small Business Analytics Dashboard Etsy VO,Export the spreadsheet. See the charts. This small business analytics dashboard turns CSV sales and customer data into interactive views. Digital download—not a monthly SaaS bill.,insightforge-etsy-video-voiceover-v1.mp3,mp3,queued,Secondary wave
2,Small Business Analytics Dashboard,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Small Business Analytics Dashboard portfolio VO,See PORTFOLIO-WALKTHROUGH-SCRIPTS.md for full narration matching this filename.,insightforge-portfolio-walkthrough-v1.mp3,mp3,queued,Use full script from md file when generating
2,Precision Laser Website Template,Etsy listing video,15s,nextgenwebs-house-male-v1,Precision Laser Website Template Etsy VO,How much to laser this with no material or thickness is not a quote request. This template’s Laser Cut and Engraving Quote Planner collects production details first. Digital download. Preliminary only—not a final price.,precision-laser-etsy-video-voiceover-v1.mp3,mp3,queued,Secondary wave
2,Precision Laser Website Template,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Precision Laser Website Template portfolio VO,See PORTFOLIO-WALKTHROUGH-SCRIPTS.md for full narration matching this filename.,precision-laser-portfolio-walkthrough-v1.mp3,mp3,queued,Use full script from md file when generating
2,Bank Desert Analysis Project,Etsy listing video,15s,nextgenwebs-house-male-v1,Bank Desert Analysis Project Etsy VO,Need a real Python data project—not a toy notebook? This student lab walks a geospatial financial-access analysis with clear methods. Educational digital download. Not banking advice.,bank-desert-etsy-video-voiceover-v1.mp3,mp3,queued,Secondary wave
2,Bank Desert Analysis Project,Portfolio walkthrough,45s,nextgenwebs-house-male-v1,Bank Desert Analysis Project portfolio VO,See PORTFOLIO-WALKTHROUGH-SCRIPTS.md for full narration matching this filename.,bank-desert-portfolio-walkthrough-v1.mp3,mp3,queued,Use full script from md file when generating
2,Small Business Analytics Dashboard,YouTube Shorts,20s,nextgenwebs-house-male-v1,InsightForge CSV short,CSV in. Charts out. This small business analytics dashboard is built for owners who already have spreadsheet exports and don’t want an enterprise BI contract. Digital download. Not a hosted subscription by default.,insightforge-dashboard-short-v1.mp3,mp3,queued,
3,Pest Control Website Template,Instagram/Facebook Reel,15s,nextgenwebs-house-male-v1,pest-control-reel-services-v1.mp3,"Make termite, rodent, and residential services obvious on mobile. Pest control website template. Digital download.",pest-control-reel-services-v1.mp3,mp3,queued,After Shorts
3,Tiling Contractor Website Template,Instagram/Facebook Reel,15s,nextgenwebs-house-male-v1,tiling-reel-measure-v1.mp3,"Area, boxes, wastage guidance—before the guesswork. Tiling website template.",tiling-reel-measure-v1.mp3,mp3,queued,After Shorts
3,Construction Website Template,Instagram/Facebook Reel,15s,nextgenwebs-house-male-v1,construction-reel-scope-first-v1.mp3,Scope first. Price second. Construction website template with a renovation quote planner.,construction-reel-scope-first-v1.mp3,mp3,queued,After Shorts
3,Precision Laser Website Template,Instagram/Facebook Reel,15s,nextgenwebs-house-male-v1,precision-laser-reel-not-quote-v1.mp3,Photo plus how much is not a brief. Laser quote planner for cutting and engraving shops.,precision-laser-reel-not-quote-v1.mp3,mp3,queued,After Shorts
3,NextGenWebs Brand,Cold outreach note,30s,nextgenwebs-house-male-v1,Outreach local service,"Hi—quick voice note, not a spam blast. I build website templates for local service businesses with structured quote flows. No promise of rankings. If useful, I can send a live demo. If not relevant, all good.",nextgenwebs-outreach-local-service-v1.mp3,mp3,queued,Human send only; not robocall
4,Precision Laser Website Template,Blog audio summary,120s,nextgenwebs-house-male-v1,Blog laser quote requests,See BLOG-AUDIO-SUMMARIES.md full script for laser cutting website quote planner summary.,blog-summary-laser-quote-planner-v1.mp3,mp3,queued,Defer until article published
4,Bank Desert Analysis Project,YouTube Shorts,20s,nextgenwebs-house-male-v1,Bank Desert portfolio project short,Portfolio projects fail when they’re just screenshots of tutorials. This Python student lab walks a geospatial financial-access analysis with methods you can explain. Educational toolkit. Not a bank product.,bank-desert-short-portfolio-project-v1.mp3,mp3,queued,Education channel
