upload_order,status,video_file,product,title,description,hashtags,tags,thumbnail_text,pinned_comment,visibility,destination_url,notes
1,WAITING_FOR_VIDEO,nextgenwebs-short-intro-v1.mp4 (PENDING),NextGenWebs,NextGenWebs — Clearer Enquiries Not Louder Claims,"Practical website templates and digital tools for small businesses. Quote planners, booking-style flows, dashboards. No traffic guarantees.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING",#NextGenWebs #websitetemplates #smallbusiness,"NextGenWebs, website templates, small business, quote planner",CLEARER ENQUIRIES,Demos: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,youtube-shorts folder empty; brand audio only
2,WAITING_FOR_VIDEO,construction-short-quote-planner-v1.mp4 (PENDING),Construction Website Template,Scope First — Construction Website Quote Planner,"How much for a reno with zero scope is not a quote. Builder website template with a renovation quote planner. Preliminary only—not a final price.

Demo: LIVE_DEMO_URL_PENDING
Etsy when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#constructionwebsite #quoteplanner #NextGenWebs,"construction website, builder template, quote planner, renovation",SCOPE FIRST,Preliminary only. Demo: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,Talking-head exists but not vertical Short; do not force landscape into Shorts
3,WAITING_FOR_VIDEO,tiling-short-measure-first-v1.mp4 (PENDING),Tiling Contractor Website Template,Measure First — Tiling Website Tile Calculator,"How many boxes with no measurements is chaos. Tiling contractor website template with tile calculator. Preliminary planning only.

Demo: LIVE_DEMO_URL_PENDING",#tilingwebsite #tilecalculator #NextGenWebs,"tiling website, tile calculator, flooring contractor",MEASURE FIRST,Estimates preliminary. Demo: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,No Shorts file; talking-head is landscape
4,WAITING_FOR_VIDEO,insightforge-dashboard-short-v1.mp4 (PENDING),InsightForge Business Analytics Dashboard,CSV In Charts Out — Small Business Dashboard,"Spreadsheet exports deserve a readable board of charts. InsightForge-style dashboard for operators—not enterprise BI theatre.

Demo: LIVE_DEMO_URL_PENDING",#analyticsdashboard #csv #NextGenWebs,"CSV dashboard, small business analytics, data visualisation",CSV TO CHARTS,Not enterprise BI. Demo: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,No Shorts file
5,WAITING_FOR_VIDEO,precision-laser-short-not-a-quote-v1.mp4 (PENDING),Precision Laser Website Template,Not a Quote Request — Laser Planner for Shops,"Photo plus how much is not a brief. Website template quote planner for cutting and engraving shops—not medical lasers. Preliminary only.

Demo: LIVE_DEMO_URL_PENDING
Etsy draft only—no public product URL claimed",#lasercutting #quoteplanner #NextGenWebs,"laser cutting, engraving, quote planner, fabrication",NOT A QUOTE YET,Not medical lasers. Demo: LIVE_DEMO_URL_PENDING,unlisted for first test,LIVE_DEMO_URL_PENDING,No media; Etsy draft 4537642227
6,WAITING_FOR_VIDEO,bank-desert-short-portfolio-project-v1.mp4 (PENDING),Bank Desert Analysis Project,Methods Over Hype — Python Student Data Lab,"Portfolio projects need methods not toy notebooks. Educational geospatial financial-access style lab. Not banking advice.

Demo: LIVE_DEMO_URL_PENDING",#python #studentlab #NextGenWebs,"python project, student lab, geospatial, data analysis",METHODS OVER HYPE,Education only. Demo: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,Etsy VO audio only
7,WAITING_FOR_VIDEO,wellness-short-spa-site-v1.mp4 (PENDING),Wellness Website Template,Spa Site Not EMR — Wellness Website Template,"Wellness website template for spas and salons. Marketing site—not a clinic system. No treatment outcome claims.

Demo: LIVE_DEMO_URL_PENDING",#wellnesswebsite #spawebsite #NextGenWebs,"wellness website, spa template, salon website",SPA SITE NOT EMR,Not medical. Demo: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,Talking-head exists but not Shorts format
8,WAITING_FOR_VIDEO,pest-control-short-facebook-wall-v1.mp4 (PENDING),Pest Control Website Template,A Facebook Wall Is Not a Website — Pest Control,"Local pest control businesses still need owned sites with clear services and quote paths. Template is a digital download—not guaranteed bookings.

Demo: LIVE_DEMO_URL_PENDING",#pestcontrol #localbusiness #NextGenWebs,"pest control website, exterminator, local service",OWN YOUR SITE,Replace demo claims. Demo: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,No media
9,WAITING_FOR_VIDEO,zen-skin-short-static-studio-v1.mp4 (PENDING),Zen Skin Studio Website Template,Static Studio Site — Skincare Marketing Template,"Skincare studio marketing site template. Calm static site—not an EMR. No medical treatment claims.

Demo: LIVE_DEMO_URL_PENDING",#skincarewebsite #beautysalon #NextGenWebs,"skincare website, beauty salon, static template",STATIC STUDIO SITE,Not EMR. Demo: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,No media
10,WAITING_FOR_VIDEO,solar-short-installer-site-v1.mp4 (PENDING),Solar Website Template,Installer Site — Solar Contractor Website Template,"Solar buyers compare installers on their phones. Contractor website template with educational savings-style guidance—not a utility bill or finance offer.

Demo: LIVE_DEMO_URL_PENDING",#solarinstaller #websitetemplate #NextGenWebs,"solar website, solar installer, contractor website",INSTALLER SITE,Guidance is educational only. Demo: LIVE_DEMO_URL_PENDING,public once checked,LIVE_DEMO_URL_PENDING,No media
