Business Name,Rating,Phone Number,Location
Glen Ellios Pty LTD,5.0,069 1039 281,"Shop No 6, Voortrekker Rd, Goodwood"
Sunlec Energy Solutions (Pty) Ltd.,4.9,067 879 9789,"Parow, Cape Town"
Eco Direct,5.0,081 213 6586,"Mitchells Plain, Cape Town"
Solar Way,4.1,084 666 4381,"Mitchells Plain, Cape Town"
Green Star Solar,5.0,076 558 8679,"Mitchells Plain, Cape Town"
Solar Dot Com,4.9,021 391 6620,"14 Horseshoe Cl, Mitchells Plain"
D.H.S Solar,5.0,081 727 7511,"Bishop Lavis, Cape Town"
R and S Solar Installations,5.0,073 661 2470,"Belhar, Cape Town"
A.C Solar Solutions,4.9,082 856 5642,"Parow, Cape Town"
Thomas Electrical,5.0,084 722 2456,"Wynberg, Cape Town"
