upload_order,status,product,pin_title,pin_description,video_file,board_suggestion,hashtags_or_keywords,cta,thumbnail_text,destination_url,notes
1,WAITING_FOR_VIDEO,NextGenWebs,NextGenWebs — Practical Website Templates for Clearer Enquiries,"Website templates and digital tools for small businesses: quote planners, booking-style flows, dashboards. No traffic guarantees. Demo: LIVE_DEMO_URL_PENDING",PENDING,NextGenWebs brand,website templates small business quote planner digital tools,Explore demos when live,CLEARER ENQUIRIES,LIVE_DEMO_URL_PENDING,No brand pin video; audio only
2,READY_AFTER_YOUTUBE,Construction Website Template,Construction Website Template with Renovation Quote Planner,"Builder website template that structures renovation scope before price talk. Preliminary guidance only—not a final quote. Walkthrough video available. Demo: LIVE_DEMO_URL_PENDING · Etsy when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",construction-talking-head-youtube-v1.mp4,Contractor website templates,construction website builder template quote planner renovation contractor,Watch walkthrough · open demo when live,SCOPE FIRST,YOUTUBE_URL_PENDING | LIVE_DEMO_URL_PENDING,Use YouTube video pin or frame grab; Etsy listing video is separate short MP4
3,READY_AFTER_YOUTUBE,Tiling Contractor Website Template,Tiling Website Template with Tile Calculator,"Measure first. Tile project planner for area and wastage guidance. Preliminary planning—not a binding quote. Demo: LIVE_DEMO_URL_PENDING",tiling-talking-head-youtube-v1.mp4,Contractor website templates,tiling website tile calculator flooring contractor renovation,See calculator walkthrough,MEASURE FIRST,YOUTUBE_URL_PENDING | LIVE_DEMO_URL_PENDING,Talking-head currently in nextgenwebs-audio root
4,READY_AFTER_YOUTUBE,InsightForge Business Analytics Dashboard,CSV to Charts — Small Business Analytics Dashboard,"Spreadsheet exports into interactive charts without enterprise BI ceremony. Digital download orientation. Demo: LIVE_DEMO_URL_PENDING",insightforge-talking-head-youtube-v1.mp4,Business tools,business dashboard CSV analytics small business data visualisation,Open demo when live,CSV TO CHARTS,YOUTUBE_URL_PENDING | LIVE_DEMO_URL_PENDING,Talking-head currently in nextgenwebs-audio root
5,WAITING_FOR_VIDEO,Precision Laser Website Template,Laser Cutting Website Template — Quote Planner for Shops,"Production questions first for cutting and engraving shops—not medical lasers. Preliminary only. Demo: LIVE_DEMO_URL_PENDING. Etsy draft only—no public product URL claimed.",PENDING,Contractor website templates,laser cutting engraving quote planner fabrication website,Demo when live,NOT A QUOTE YET,LIVE_DEMO_URL_PENDING,Etsy draft 4537642227; do not invent URL
6,WAITING_FOR_VIDEO,Bank Desert Analysis Project,Bank Desert Analysis — Python Student Data Lab,"Educational geospatial financial-access style project. Methods over hype. Not banking advice. Demo: LIVE_DEMO_URL_PENDING",PENDING,Student data projects,python student lab geospatial data analysis pandas portfolio,Explore lab when live,METHODS OVER HYPE,LIVE_DEMO_URL_PENDING,Etsy VO audio only
7,READY_AFTER_YOUTUBE,Wellness Website Template,Wellness Spa Website Template — Marketing Not EMR,"Spa and salon website template for services and enquiry paths. Not medical software. No treatment claims. Demo: LIVE_DEMO_URL_PENDING",wellnes_talkinghead.mp4,Service business websites,wellness website spa salon beauty business template,Preview when live,SPA SITE NOT EMR,YOUTUBE_URL_PENDING | LIVE_DEMO_URL_PENDING,Rename file before cataloguing
8,WAITING_FOR_VIDEO,Pest Control Website Template,Pest Control Website Template for Local Services,"Owned mobile site with clear services and quote paths. Replace demo claims. No booking guarantees. Demo: LIVE_DEMO_URL_PENDING",PENDING,Service business websites,pest control website exterminator local business template,Demo when live,OWN YOUR SITE,LIVE_DEMO_URL_PENDING,No media
9,WAITING_FOR_VIDEO,Zen Skin Studio Website Template,Zen Skin Studio — Static Skincare Marketing Site,"Calm static website template for skincare studios. Not an EMR. No treatment outcomes claimed. Demo: LIVE_DEMO_URL_PENDING",PENDING,Service business websites,skincare website beauty salon static template,Preview when live,STATIC STUDIO SITE,LIVE_DEMO_URL_PENDING,No media
10,WAITING_FOR_VIDEO,Solar Website Template,Solar Installer Website Template,"Mobile-first contractor site for solar installers. Educational savings-style guidance only—not a utility bill or finance offer. Demo: LIVE_DEMO_URL_PENDING",PENDING,Contractor website templates,solar website solar installer renewable energy contractor,Demo when live,INSTALLER SITE,LIVE_DEMO_URL_PENDING,No media
