order,product,filename,source_path,title,description,hashtags,tags,pinned_comment,thumbnail_text,first_3s_hook,cta,upload_status,notes
1,NextGenWebs Homepage Intro,nextgenwebs-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,NextGenWebs: websites and tools for clearer enquiries,"NextGenWebs builds practical websites, templates and digital tools for small businesses that need clearer enquiries, quote planners, booking flows, dashboards and lead-generation systems.

No guaranteed sales or rankings. Just clearer systems.

Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Demo: LIVE_DEMO_URL_PENDING",#websitetemplates #smallbusiness #NextGenWebs #digitaltools #webdesign,"website templates, small business website, quote planner, lead generation, NextGenWebs, digital tools, dashboards","Start with a demo, not a pitch deck. Links: LIVE_DEMO_URL_PENDING · PORTFOLIO_PROJECT_URL_PENDING",CLEARER ENQUIRIES,Pretty sites that ignore intake waste everyones time.,Explore the portfolio and live demos when links are live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
2,Construction Website Template,construction-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Construction website template with quote planner,"Construction website template for builders and contractors. A renovation quote planner helps visitors structure scope before the price conversation.

Preliminary guidance only—not a final price. Demo content is fictional.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy (exact product URL when public): EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#constructionwebsite #builderwebsite #quoteplanner #websitetemplate #NextGenWebs",#constructionwebsite #builderwebsite #quoteplanner #websitetemplate #NextGenWebs,"construction website template, builder website, contractor website, renovation quote planner, website template, digital download, NextGenWebs",Planner guidance is preliminary only. Demo: LIVE_DEMO_URL_PENDING,SCOPE FIRST,How much for a reno with zero scope is not a quote.,Watch the full walkthrough · open the demo when live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
3,Tiling Contractor Website Template,tiling-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Tiling website template with tile calculator,"Tiling contractor website template with an interactive tile calculator for area, boxes and wastage guidance.

Preliminary planning only—not a final quote.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#tilingwebsite #tilecalculator #contractorwebsite #websitetemplate #NextGenWebs",#tilingwebsite #tilecalculator #contractorwebsite #websitetemplate #NextGenWebs,"tiling website template, tile calculator, flooring contractor website, renovation website, digital download, NextGenWebs",Estimates are preliminary. Demo: LIVE_DEMO_URL_PENDING,MEASURE FIRST,How many boxes with no measurements is chaos.,See the calculator flow in the full video.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
4,InsightForge Business Analytics Dashboard,insightforge-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,CSV analytics dashboard for small business,"Small business analytics dashboard for CSV sales and customer data. Privacy-minded workflow. Digital download—not a monthly SaaS bill by default.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#businessdashboard #csvanaytics #smallbusiness #datadashboard #NextGenWebs",#businessdashboard #csvanaytics #smallbusiness #datadashboard #NextGenWebs,"business analytics dashboard, CSV analytics, sales dashboard, small business dashboard, data visualisation, NextGenWebs",Not enterprise BI. Demo: LIVE_DEMO_URL_PENDING,CSV TO CHARTS,CSV in. Charts out. No enterprise ceremony.,Open the dashboard demo when the link is live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
5,Precision Laser Website Template,precision-laser-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Laser quote planner website for cutting shops,"Website template for laser cutting and engraving shops with a quote planner for material, thickness, size and file readiness.

Not medical lasers. Preliminary only—not a final price.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#lasercutting #laserengraving #quoteplanner #websitetemplate #NextGenWebs",#lasercutting #laserengraving #quoteplanner #websitetemplate #NextGenWebs,"laser cutting website, engraving website template, signage website, quote planner, fabrication website, NextGenWebs",Cutting and engraving only—not medical lasers. Demo: LIVE_DEMO_URL_PENDING,NOT A QUOTE YET,This is not a laser quote request.,See the planner path when the demo is live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
6,Bank Desert Analysis Project,bank-desert-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Python geospatial student lab project,"Educational Python student lab for geospatial financial-access style analysis. Not banking advice. Not a fintech app.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#pythonproject #dataanalysis #geospatial #studentlab #NextGenWebs",#pythonproject #dataanalysis #geospatial #studentlab #NextGenWebs,"python data project, student lab, geospatial analysis, pandas project, data visualisation, education, NextGenWebs",Education only—not financial advice. Demo: LIVE_DEMO_URL_PENDING,METHODS OVER HYPE,"Portfolio projects need methods, not toy notebooks.",Explore the student lab demo when live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
7,Wellness Website Template,wellness-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Wellness spa website template for salons,"Wellness website template for spas, skincare studios and beauty salons. Not a diagnostic tool. No treatment outcome claims.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#wellnesswebsite #spawebsite #salonwebsite #websitetemplate #NextGenWebs",#wellnesswebsite #spawebsite #salonwebsite #websitetemplate #NextGenWebs,"wellness website template, spa website, beauty salon website, skincare website, digital download, NextGenWebs",Marketing site only—not medical. Demo: LIVE_DEMO_URL_PENDING,SPA SITE NOT EMR,Your spa site is marketing—not a clinic system.,Preview the wellness template demo when live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
8,Pest Control Website Template,pest-control-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Pest control website template for exterminators,"Pest control website template for exterminators and local service businesses. Mobile-ready services and quote paths. Digital download. Replace fictional demo content.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#pestcontrol #exterminator #localbusiness #websitetemplate #NextGenWebs",#pestcontrol #exterminator #localbusiness #websitetemplate #NextGenWebs,"pest control website, exterminator website, local business website, website template, digital download, NextGenWebs",Replace demo claims with real facts. Demo: LIVE_DEMO_URL_PENDING,OWN YOUR SITE,A Facebook wall is not a website.,Open the pest control template demo when live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
9,Zen Skin Studio Website Template,zen-skin-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Skincare studio website template static HTML,"Static HTML website template for skincare studios and beauty marketing sites. Simple rebrand and hosting path. No treatment outcome claims.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#skincarewebsite #beautysalon #websitetemplate #staticwebsite #NextGenWebs",#skincarewebsite #beautysalon #websitetemplate #staticwebsite #NextGenWebs,"skincare website template, beauty salon website, aesthetic marketing site, static HTML template, NextGenWebs",Marketing only—not EMR. Demo: LIVE_DEMO_URL_PENDING,STATIC STUDIO SITE,Beauty marketing site—not medical records software.,Preview the skincare studio template when live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
10,Solar Website Template,solar-short-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Solar installer website template walkthrough,"Solar installer website template for renewable energy contractors. Savings-style guidance is educational—not a utility bill or finance offer.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

#solarwebsite #solarinstaller #renewableenergy #websitetemplate #NextGenWebs",#solarwebsite #solarinstaller #renewableenergy #websitetemplate #NextGenWebs,"solar website template, solar installer website, renewable energy website, contractor website, NextGenWebs",Calculator guidance is educational only. Demo: LIVE_DEMO_URL_PENDING,INSTALLER SITE,Solar buyers decide with their thumbs.,Open the solar template demo when live.,WAITING_FOR_VIDEO,No file in nextgenwebs-video/youtube-shorts yet
