order,product,filename,source_path,title,description,hashtags,tags,pinned_comment,thumbnail_text,first_3s_hook,cta,upload_status,notes
1,NextGenWebs Homepage Intro,nextgenwebs-talking-head-youtube-v1.mp4 (PENDING),WAITING_FOR_VIDEO,NextGenWebs Intro — Practical Websites and Digital Tools for Small Business,"What NextGenWebs actually builds: website templates and digital tools for operators who need clearer enquiries—not louder marketing claims.

We work on quote planners, booking-style flows, local service sites, dashboards and lead-generation systems for small businesses.

This is an intro, not a promise of traffic or revenue.

Demos: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Shop products (exact URLs only): EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#NextGenWebs #websitetemplates #smallbusiness #webdesign,"website templates, small business website, quote planner, lead generation, NextGenWebs, digital tools, dashboards","Start with a demo, not a pitch deck. Links: LIVE_DEMO_URL_PENDING · PORTFOLIO_PROJECT_URL_PENDING",CLEARER ENQUIRIES,Pretty sites that ignore intake waste everyones time.,Explore the portfolio and live demos when links are live.,WAITING_FOR_VIDEO,Homepage intro audio exists (nextgenwebs-homepage-intro-v1.mp3) but no talking-head MP4 yet
2,Construction Website Template,construction-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-video/youtube-talking-heads/construction-talking-head-youtube-v1.mp4,Construction Website Template Walkthrough — Renovation Quote Planner for Builders,"Full talking-head walkthrough of the Construction Website Template from NextGenWebs.

Built for builders and renovation contractors who get incomplete enquiries. The renovation quote planner helps structure scope before quoting. Any budget-style guidance is preliminary—not a binding cost estimate.

Digital download product intent. Fictional demo branding must be replaced before go-live.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy exact listing when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION

No guaranteed leads or rankings.",#constructionwebsite #builderwebsite #quoteplanner #NextGenWebs,"construction website template, builder website, contractor website, renovation quote planner, website template, digital download, NextGenWebs",Planner guidance is preliminary only. Demo: LIVE_DEMO_URL_PENDING,SCOPE FIRST,How much for a reno with zero scope is not a quote.,Watch the full walkthrough · open the demo when live.,READY,Talking-head file present in inventory
3,Tiling Contractor Website Template,tiling-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-audio/tiling-talking-head-youtube-v1.mp4,Tiling Contractor Website Template — Tile Calculator Walkthrough,"Talking-head walkthrough of the Tiling Contractor Website Template.

For flooring and tiling businesses that need more than a gallery. Includes a tile project planner for measurements and wastage guidance. Outputs are preliminary planning estimates—not binding quotes.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#tilingwebsite #tilecalculator #NextGenWebs,"tiling website template, tile calculator, flooring contractor website, renovation website, digital download, NextGenWebs",Estimates are preliminary. Demo: LIVE_DEMO_URL_PENDING,MEASURE FIRST,How many boxes with no measurements is chaos.,See the calculator flow in the full video.,READY,Talking-head file present in inventory
4,InsightForge Business Analytics Dashboard,insightforge-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-audio/insightforge-talking-head-youtube-v1.mp4,InsightForge Business Analytics Dashboard — CSV Charts Walkthrough,"Walkthrough of the InsightForge-style small business analytics dashboard.

Bring spreadsheet exports into interactive charts without assuming an enterprise BI stack. Privacy-minded, download-oriented positioning—not guaranteed business insights.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#analyticsdashboard #csv #smallbusiness #NextGenWebs,"business analytics dashboard, CSV analytics, sales dashboard, small business dashboard, data visualisation, NextGenWebs",Not enterprise BI. Demo: LIVE_DEMO_URL_PENDING,CSV TO CHARTS,CSV in. Charts out. No enterprise ceremony.,Open the dashboard demo when the link is live.,READY,Talking-head file present in inventory
5,Precision Laser Website Template,precision-laser-talking-head-youtube-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Precision Laser Website Template — Quote Planner for Cutting and Engraving,"Website template for laser cutting, engraving, signage and fabrication shops. Core feature: Laser Cut and Engraving Quote Planner for production-ready briefs.

Not for medical or cosmetic lasers. Planner output is preliminary guidance only.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#lasercutting #websitetemplate #NextGenWebs,"laser cutting website, engraving website template, signage website, quote planner, fabrication website, NextGenWebs",Cutting and engraving only—not medical lasers. Demo: LIVE_DEMO_URL_PENDING,NOT A QUOTE YET,This is not a laser quote request.,See the planner path when the demo is live.,WAITING_FOR_VIDEO,No talking-head MP4 in inventory
6,Bank Desert Analysis Project,bank-desert-talking-head-youtube-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Bank Desert Analysis Student Lab — Python Geospatial Walkthrough,"Educational walkthrough of the Bank Desert Analysis student lab: Python and geospatial financial-access style analysis with transparent methods.

Not a commercial banking product. Not investment or financial advice.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#python #dataanalysis #studentlab #NextGenWebs,"python data project, student lab, geospatial analysis, pandas project, data visualisation, education, NextGenWebs",Education only—not financial advice. Demo: LIVE_DEMO_URL_PENDING,METHODS OVER HYPE,"Portfolio projects need methods, not toy notebooks.",Explore the student lab demo when live.,WAITING_FOR_VIDEO,No talking-head MP4 in inventory
7,Wellness Website Template,wellness-talking-head-youtube-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Wellness Website Template — Spa and Salon Site Walkthrough,"Walkthrough of a wellness and spa website template for beauty and wellness marketing sites.

Not medical software. No treatment results claimed. Demo content is fictional sample material.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#wellnesswebsite #spawebsite #NextGenWebs,"wellness website template, spa website, beauty salon website, skincare website, digital download, NextGenWebs",Marketing site only—not medical. Demo: LIVE_DEMO_URL_PENDING,SPA SITE NOT EMR,Your spa site is marketing—not a clinic system.,Preview the wellness template demo when live.,WAITING_FOR_VIDEO,No talking-head MP4 in inventory
8,Pest Control Website Template,pest-control-talking-head-youtube-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Pest Control Website Template — Local Service Site Walkthrough,"Walkthrough of a pest control website template for exterminators and related local services.

Clear services, mobile enquiry paths, honest demo content policy. No guaranteed bookings or rankings.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#pestcontrol #localbusiness #NextGenWebs,"pest control website, exterminator website, local business website, website template, digital download, NextGenWebs",Replace demo claims with real facts. Demo: LIVE_DEMO_URL_PENDING,OWN YOUR SITE,A Facebook wall is not a website.,Open the pest control template demo when live.,WAITING_FOR_VIDEO,No talking-head MP4 in inventory
9,Zen Skin Studio Website Template,zen-skin-talking-head-youtube-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Zen Skin Studio Website Template — Skincare Marketing Site Walkthrough,"Walkthrough of a static skincare studio website template for beauty marketing sites.

Not an EMR. No medical treatment claims. Demo content is fictional.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#skincarewebsite #beautysalon #NextGenWebs,"skincare website template, beauty salon website, aesthetic marketing site, static HTML template, NextGenWebs",Marketing only—not EMR. Demo: LIVE_DEMO_URL_PENDING,STATIC STUDIO SITE,Beauty marketing site—not medical records software.,Preview the skincare studio template when live.,WAITING_FOR_VIDEO,No talking-head MP4 in inventory
10,Solar Website Template,solar-talking-head-youtube-v1.mp4 (PENDING),WAITING_FOR_VIDEO,Solar Installer Website Template — Contractor Site Walkthrough,"Walkthrough of a solar installer website template for renewable energy contractors.

Lead capture and educational savings-style guidance only—not utility quotes or financing offers. No guaranteed leads.

Demo: LIVE_DEMO_URL_PENDING
Portfolio: PORTFOLIO_PROJECT_URL_PENDING
Etsy: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION",#solarinstaller #websitetemplate #NextGenWebs,"solar website template, solar installer website, renewable energy website, contractor website, NextGenWebs",Calculator guidance is educational only. Demo: LIVE_DEMO_URL_PENDING,INSTALLER SITE,Solar buyers decide with their thumbs.,Open the solar template demo when live.,WAITING_FOR_VIDEO,No talking-head MP4 in inventory
