order,product,pin_title,pin_description,destination_url,board_suggestion,filename_or_status,upload_status
1,NextGenWebs Homepage Intro,NextGenWebs: websites and tools for clearer enquiries,Pretty sites that ignore intake waste everyones time. NextGenWebs Homepage Intro. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Website Templates for Small Business,WAITING_FOR_VIDEO,WAITING_FOR_VIDEO
2,Construction Website Template,Construction website template with quote planner,How much for a reno with zero scope is not a quote. Construction Website Template. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Construction & Contractor Websites,construction-talking-head-youtube-v1.mp4,READY
3,Tiling Contractor Website Template,Tiling website template with tile calculator,How many boxes with no measurements is chaos. Tiling Contractor Website Template. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Tiling & Flooring Business Websites,tiling-talking-head-youtube-v1.mp4,READY
4,InsightForge Business Analytics Dashboard,CSV analytics dashboard for small business,CSV in. Charts out. No enterprise ceremony. InsightForge Business Analytics Dashboard. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Small Business Dashboards & Analytics,insightforge-talking-head-youtube-v1.mp4,READY
5,Precision Laser Website Template,Laser quote planner website for cutting shops,This is not a laser quote request. Precision Laser Website Template. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Maker & Fabrication Websites,WAITING_FOR_VIDEO,WAITING_FOR_VIDEO
6,Bank Desert Analysis Project,Python geospatial student lab project,"Portfolio projects need methods, not toy notebooks. Bank Desert Analysis Project. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.",PORTFOLIO_PROJECT_URL_PENDING,Python Data Projects for Students,WAITING_FOR_VIDEO,WAITING_FOR_VIDEO
7,Wellness Website Template,Wellness spa website template for salons,Your spa site is marketing—not a clinic system. Wellness Website Template. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Spa Wellness & Salon Websites,WAITING_FOR_VIDEO,WAITING_FOR_VIDEO
8,Pest Control Website Template,Pest control website template for exterminators,A Facebook wall is not a website. Pest Control Website Template. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Pest Control Business Websites,WAITING_FOR_VIDEO,WAITING_FOR_VIDEO
9,Zen Skin Studio Website Template,Skincare studio website template static HTML,Beauty marketing site—not medical records software. Zen Skin Studio Website Template. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Spa Wellness & Salon Websites,WAITING_FOR_VIDEO,WAITING_FOR_VIDEO
10,Solar Website Template,Solar installer website template walkthrough,Solar buyers decide with their thumbs. Solar Website Template. Practical digital product from NextGenWebs. No guaranteed sales. Demo: LIVE_DEMO_URL_PENDING. Portfolio: PORTFOLIO_PROJECT_URL_PENDING. Etsy exact URL when public: EXACT_ETSY_PRODUCT_URL_PENDING_PUBLICATION.,PORTFOLIO_PROJECT_URL_PENDING,Solar Installer Websites,WAITING_FOR_VIDEO,WAITING_FOR_VIDEO
